Nome,Data de publicacao,Versao Python mais recente,Downloads no ultimo mes
numpy,2023-07-08T21:38:33,>=3.9,-1
pandas,2023-06-28T23:15:57,>=3.8,-1
matplotlib,2023-07-05T21:01:41,>=3.8,-1
scikit-learn,2023-06-30T07:54:40,>=3.8,-1
tensorflow,2023-07-05T17:43:09,>=3.8,-1
keras,2023-06-27T23:05:28,>=3.8,-1
pytorch,2019-04-24T16:32:54,,-1
opencv-python,2023-06-30T12:27:12,>=3.6,-1
Django,2023-07-03T07:57:20,>=3.8,-1
Flask,2023-05-01T15:42:08,>=3.8,-1
SQLAlchemy,2023-07-05T19:26:51,>=3.7,-1
beautifulsoup4,2023-04-07T15:02:50,>=3.6.0,-1
requests,2023-05-22T15:12:42,>=3.7,-1
scipy,2023-06-28T21:43:44,"<3.13,>=3.9",-1
nltk,2023-01-02T15:37:07,>=3.7,-1
networkx,2023-04-04T20:07:53,>=3.8,-1
Pillow,2023-07-01T14:56:18,>=3.8,-1
seaborn,2022-12-30T19:25:36,>=3.7,-1
plotly,2023-06-08T15:46:24,>=3.6,-1
pygame,2023-06-24T10:17:42,>=3.6,-1
wxPython,2023-06-08T01:23:54,,-1
PyAudio,2022-12-26T05:38:20,,-1
cryptography,2023-06-01T12:30:47,>=3.7,-1
PyPDF2,2022-12-31T10:36:10,>=3.6,-1
pygame,2023-06-24T10:17:42,>=3.6,-1
PyAutoGUI,2023-05-24T20:11:32,,-1
selenium,2023-06-07T16:17:04,>=3.7,-1
pytz,2023-03-29T04:23:25,,-1
arrow,2022-09-03T19:35:29,>=3.6,-1
tweepy,2023-04-24T22:17:19,>=3.7,-1
pyTelegramBotAPI,2023-05-18T15:11:46,,-1
pyqtgraph,2023-04-14T21:31:28,>=3.8,-1
pytesseract,2022-08-16T19:19:08,>=3.7,-1
googletrans,2020-06-14T07:43:55,,-1
pyinstaller,2023-06-24T23:21:11,"<3.13,>=3.7",-1
psutil,2023-04-17T18:24:26,">=2.7, !=3.0.*, !=3.1.*, !=3.2.*, !=3.3.*",-1
pandas-profiling,2023-01-31T11:18:15,">=3.7, <3.11",-1
python-docx,2021-05-15T22:18:24,,-1
xlrd,2020-12-11T10:14:20,">=2.7, !=3.0.*, !=3.1.*, !=3.2.*, !=3.3.*, !=3.4.*, !=3.5.*",-1
XlsxWriter,2023-05-28T14:40:35,>=3.6,-1
paramiko,2023-05-25T18:12:29,>=3.6,-1
PyQRCode,2016-06-20T03:28:03,,-1
pymongo,2023-06-21T17:56:52,>=3.7,-1
praw,2023-02-25T20:12:25,~=3.7,-1
sympy,2023-05-10T18:22:14,>=3.8,-1
python-docx,2021-05-15T22:18:24,,-1
pycrypto,2014-06-20T08:10:20,,-1
pyodbc,2023-04-14T14:27:18,">=2.7, !=3.0.*, !=3.1.*, !=3.2.*, !=3.3.*, !=3.4.*, !=3.5.*",-1
pyusb,2021-07-09T02:58:44,>=3.6.0,-1
pycurl,2022-12-16T19:44:28,>=3.5,-1
